YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (MW/h),GENERATION (GW/h)
1990,OK,Total Electric Power Industry,Petroleum,76947,0.076947
1990,OK,Total Electric Power Industry,Wood and Wood Derived Fuels,268963,0.268963
1990,OR,Total Electric Power Industry,Total,50372236,50.372236
1990,OR,Total Electric Power Industry,Coal,1317344,1.317344
1990,OR,Total Electric Power Industry,Hydroelectric Conventional,41240367,41.240367
1990,OR,Total Electric Power Industry,Natural Gas,819328,0.819328
1990,OR,Total Electric Power Industry,Nuclear,6073796,6.073796
1990,OR,Total Electric Power Industry,Other Biomass,90487,0.090487
1990,OR,Total Electric Power Industry,Petroleum,27777,0.027777
1990,OR,Total Electric Power Industry,Wind,539,0.000539
1990,OR,Total Electric Power Industry,Wood and Wood Derived Fuels,802598,0.802598
1990,PA,Total Electric Power Industry,Total,175623311,175.623311
1990,PA,Total Electric Power Industry,Coal,106677155,106.677155
1990,PA,Total Electric Power Industry,Hydroelectric Conventional,2869192,2.869192
1990,PA,Total Electric Power Industry,Natural Gas,2833882,2.833882
1990,PA,Total Electric Power Industry,Nuclear,57787051,57.787051
1990,PA,Total Electric Power Industry,Other Biomass,300109,0.300109
1990,PA,Total Electric Power Industry,Other Gases,841604,0.841604
1990,PA,Total Electric Power Industry,Petroleum,4654522,4.654522
1990,PA,Total Electric Power Industry,Wood and Wood Derived Fuels,538313,0.538313
1990,RI,Total Electric Power Industry,Total,1107316,1.107316
1990,RI,Total Electric Power Industry,Coal,0,0
1990,RI,Total Electric Power Industry,Hydroelectric Conventional,9946,0.009946
1990,RI,Total Electric Power Industry,Natural Gas,876943,0.876943
1990,RI,Total Electric Power Industry,Other Biomass,34756,0.034756
1990,RI,Total Electric Power Industry,Petroleum,185671,0.185671
1990,SC,Total Electric Power Industry,Total,71363174,71.363174
1990,SC,Total Electric Power Industry,Coal,23411867,23.411867
1990,SC,Total Electric Power Industry,Hydroelectric Conventional,3298066,3.298066
1990,SC,Total Electric Power Industry,Natural Gas,787535,0.787535
1990,SC,Total Electric Power Industry,Nuclear,42880669,42.880669
1990,SC,Total Electric Power Industry,Other Biomass,49561,0.049561
1990,SC,Total Electric Power Industry,Petroleum,172575,0.172575
1990,SC,Total Electric Power Industry,Wood and Wood Derived Fuels,1269290,1.26929
1990,SD,Total Electric Power Industry,Total,6427473,6.427473
1990,SD,Total Electric Power Industry,Coal,2472514,2.472514
1990,SD,Total Electric Power Industry,Hydroelectric Conventional,3934402,3.934402
1990,SD,Total Electric Power Industry,Natural Gas,12408,0.012408
1990,SD,Total Electric Power Industry,Petroleum,8149,0.008149
1990,TN,Total Electric Power Industry,Total,76187609,76.187609
1990,TN,Total Electric Power Industry,Coal,51825606,51.825606
1990,TN,Total Electric Power Industry,Hydroelectric Conventional,10015363,10.015363
1990,TN,Total Electric Power Industry,Natural Gas,224146,0.224146
1990,TN,Total Electric Power Industry,Nuclear,14002591,14.002591
1990,TN,Total Electric Power Industry,Other Biomass,44919,0.044919
1990,TN,Total Electric Power Industry,Other Gases,4210,0.00421
1990,TN,Total Electric Power Industry,Petroleum,137067,0.137067
1990,TN,Total Electric Power Industry,Wood and Wood Derived Fuels,366858,0.366858
1990,TX,Total Electric Power Industry,Total,281559635,281.559635
1990,TX,Total Electric Power Industry,Coal,120921396,120.921396
1990,TX,Total Electric Power Industry,Hydroelectric Conventional,1793625,1.793625
1990,TX,Total Electric Power Industry,Natural Gas,136234325,136.234325
1990,TX,Total Electric Power Industry,Nuclear,15859258,15.859258
1990,TX,Total Electric Power Industry,Other Biomass,333132,0.333132
1990,TX,Total Electric Power Industry,Other Gases,2997509,2.997509
1990,TX,Total Electric Power Industry,Petroleum,1827803,1.827803
1990,TX,Total Electric Power Industry,Solar Thermal and Photovoltaic,385,0.000385
1990,TX,Total Electric Power Industry,Wood and Wood Derived Fuels,1103471,1.103471
1990,UT,Total Electric Power Industry,Total,32563539,32.563539
1990,UT,Total Electric Power Industry,Coal,31522926,31.522926
1990,UT,Total Electric Power Industry,Geothermal,151825,0.151825
1990,UT,Total Electric Power Industry,Hydroelectric Conventional,508443,0.508443
1990,UT,Total Electric Power Industry,Natural Gas,146488,0.146488
1990,UT,Total Electric Power Industry,Other Gases,182005,0.182005
1990,UT,Total Electric Power Industry,Petroleum,51852,0.051852
1990,VA,Total Electric Power Industry,Total,52564458,52.564458
1990,VA,Total Electric Power Industry,Coal,23899902,23.899902
1990,VA,Total Electric Power Industry,Hydroelectric Conventional,1309499,1.309499
1990,VA,Total Electric Power Industry,Natural Gas,1134809,1.134809
1990,VA,Total Electric Power Industry,Nuclear,23820152,23.820152
1990,VA,Total Electric Power Industry,Other Biomass,620794,0.620794
1990,VA,Total Electric Power Industry,Petroleum,1438264,1.438264
1990,VA,Total Electric Power Industry,Solar Thermal and Photovoltaic,34,0.000034
1990,VA,Total Electric Power Industry,Wood and Wood Derived Fuels,1174673,1.174673
1990,VT,Total Electric Power Industry,Total,5164108,5.164108
1990,VT,Total Electric Power Industry,Hydroelectric Conventional,1365031,1.365031
1990,VT,Total Electric Power Industry,Natural Gas,65281,0.065281
1990,VT,Total Electric Power Industry,Nuclear,3616268,3.616268
1990,VT,Total Electric Power Industry,Petroleum,2543,0.002543
1990,VT,Total Electric Power Industry,Wind,0,0
1990,VT,Total Electric Power Industry,Wood and Wood Derived Fuels,114985,0.114985
1990,WA,Total Electric Power Industry,Total,102071533,102.071533
1990,WA,Total Electric Power Industry,Coal,7390279,7.390279
1990,WA,Total Electric Power Industry,Hydroelectric Conventional,87466708,87.466708
1990,WA,Total Electric Power Industry,Natural Gas,288058,0.288058
1990,WA,Total Electric Power Industry,Nuclear,5742027,5.742027
1990,WA,Total Electric Power Industry,Other Biomass,6499,0.006499
1990,WA,Total Electric Power Industry,Other Gases,8460,0.00846
1990,WA,Total Electric Power Industry,Petroleum,42981,0.042981
1990,WA,Total Electric Power Industry,Wood and Wood Derived Fuels,1122771,1.122771
1990,WI,Total Electric Power Industry,Total,47768857,47.768857
1990,WI,Total Electric Power Industry,Coal,33168941,33.168941
1990,WI,Total Electric Power Industry,Hydroelectric Conventional,2014412,2.014412
1990,WI,Total Electric Power Industry,Natural Gas,347204,0.347204
1990,WI,Total Electric Power Industry,Nuclear,11225913,11.225913
1990,WI,Total Electric Power Industry,Other Biomass,149770,0.14977
1990,WI,Total Electric Power Industry,Petroleum,179457,0.179457
1990,WI,Total Electric Power Industry,Wind,44,0.000044
